"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","phase","correct"
"44542","32","text","0","44547","0.0-0.0","","",""
"696","32","text","1","46256","0.0-1.0","","",""
"590","37","single-stim","2","49871","0.0-2.0-0.0","img/con1.png","congruent","true"
"609","39","single-stim","3","52288","0.0-2.0-1.0","img/inc1.png","incongruent","true"
"556","39","single-stim","4","54339","0.0-2.0-2.0","img/inc2.png","incongruent","true"
"513","39","single-stim","5","56553","0.0-2.0-3.0","img/inc2.png","incongruent","true"
"673","39","single-stim","6","58643","0.0-2.0-4.0","img/inc2.png","incongruent","true"
"605","39","single-stim","7","60813","0.0-2.0-5.0","img/inc1.png","incongruent","true"
"614","39","single-stim","8","63327","0.0-2.0-6.0","img/inc1.png","incongruent","true"
"449","39","single-stim","9","65189","0.0-2.0-7.0","img/inc2.png","incongruent","true"
"364","39","single-stim","10","66564","0.0-2.0-8.0","img/con1.png","congruent","false"
"642","37","single-stim","11","69053","0.0-2.0-9.0","img/con2.png","congruent","true"
"647","37","single-stim","12","70863","0.0-2.0-10.0","img/con2.png","congruent","true"
"521","37","single-stim","13","72065","0.0-2.0-11.0","img/con2.png","congruent","true"
"525","39","single-stim","14","73719","0.0-2.0-12.0","img/inc1.png","incongruent","true"
"695","39","single-stim","15","76057","0.0-2.0-13.0","img/inc1.png","incongruent","true"
"717","39","single-stim","16","78070","0.0-2.0-14.0","img/inc1.png","incongruent","true"
"670","37","single-stim","17","80676","0.0-2.0-15.0","img/con2.png","congruent","true"
"628","39","single-stim","18","82994","0.0-2.0-16.0","img/inc1.png","incongruent","true"
"636","37","single-stim","19","84780","0.0-2.0-17.0","img/con1.png","congruent","true"
"702","37","single-stim","20","87390","0.0-2.0-18.0","img/con2.png","congruent","true"
"548","37","single-stim","21","88798","0.0-2.0-19.0","img/con2.png","congruent","true"
"556","39","single-stim","22","90405","0.0-2.0-20.0","img/inc1.png","incongruent","true"
"650","39","single-stim","23","92613","0.0-2.0-21.0","img/inc2.png","incongruent","true"
"619","37","single-stim","24","93875","0.0-2.0-22.0","img/con1.png","congruent","true"
"544","37","single-stim","25","95627","0.0-2.0-23.0","img/con1.png","congruent","true"
"693","37","single-stim","26","96899","0.0-2.0-24.0","img/con2.png","congruent","true"
"628","37","single-stim","27","98940","0.0-2.0-25.0","img/con2.png","congruent","true"
"483","37","single-stim","28","100208","0.0-2.0-26.0","img/con2.png","congruent","true"
"377","37","single-stim","29","101907","0.0-2.0-27.0","img/inc1.png","incongruent","false"
"567","39","single-stim","30","103269","0.0-2.0-28.0","img/inc2.png","incongruent","true"
"1233","39","single-stim","31","106233","0.0-2.0-29.0","img/inc2.png","incongruent","true"
"438","39","single-stim","32","107244","0.0-2.0-30.0","img/con2.png","congruent","false"
"620","37","single-stim","33","108839","0.0-2.0-31.0","img/con2.png","congruent","true"
"1024","39","single-stim","34","111395","0.0-2.0-32.0","img/inc2.png","incongruent","true"
"540","37","single-stim","35","113851","0.0-2.0-33.0","img/con1.png","congruent","true"
"676","39","single-stim","36","115522","0.0-2.0-34.0","img/inc1.png","incongruent","true"
"641","37","single-stim","37","117202","0.0-2.0-35.0","img/con2.png","congruent","true"
"811","37","single-stim","38","118710","0.0-2.0-36.0","img/con2.png","congruent","true"
"589","39","single-stim","39","119933","0.0-2.0-37.0","img/inc1.png","incongruent","true"
